Model,CV_Strategy,Time_Scale,Time_Label,Feature_Combination,Feature_Display,Feature_Order,Baseline_Feature,Baseline_R2,Feature_R2,Delta_R2,Delta_R2_Percent,P_Value_One_Tailed,T_Statistic,N_Valid_Pairs,N_Valid_Diffs_After_IQR,Significance_Stars,Annotation_Text,IQR_K,Notes,Column_Order
RF,Spatial_CV,7day,7d,Baseline+Aggregated50,50m,1,Baseline+Meteorology,0.613012163571905,0.654022457418828,0.04101029384692301,4.101029384692301,0.1415535906770553,1.0835941636337518,58,58,,"0.654
(+4.1)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,10
RF,Spatial_CV,31day,31d,Baseline+Aggregated50,50m,1,Baseline+Meteorology,0.589943134074972,0.551243942809344,-0.03869919126562804,-3.869919126562804,1.0,-0.6276378393103796,58,58,,"0.551
(-3.9)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,11
RF,Temporal_CV,1hour,1h,Baseline+Aggregated50,50m,1,Baseline+Meteorology,0.354619142306792,0.429979151227396,0.07536000892060402,7.536000892060402,2.337451105701701e-10,7.499672617197097,58,58,***,"0.430
(+7.5***)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,12
RF,Temporal_CV,24hour,24h,Baseline+Aggregated50,50m,1,Baseline+Meteorology,0.485373822898521,0.517534897064251,0.03216107416573005,3.2161074165730055,0.005844371461638725,2.605308294539586,58,58,**,"0.518
(+3.2**)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,13
RF,Temporal_CV,7day,7d,Baseline+Aggregated50,50m,1,Baseline+Meteorology,0.524647610855134,0.601015589457733,0.07636797860259903,7.636797860259903,2.967369716712151e-11,8.038374565402899,58,58,***,"0.601
(+7.6***)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,14
RF,Temporal_CV,31day,31d,Baseline+Aggregated50,50m,1,Baseline+Meteorology,0.497335211200427,0.555348200672261,0.058012989471833976,5.801298947183398,0.04106265125906492,1.7697035689098028,58,58,*,"0.555
(+5.8*)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,15
LGBM,Spatial_CV,1hour,1h,Baseline+Aggregated100,100m,2,Baseline+Meteorology,0.587487026652078,0.583914414387243,-0.0035726122648349623,-0.35726122648349623,1.0,-0.6457110547954892,58,58,,"0.584
(-0.4)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,0
LGBM,Spatial_CV,24hour,24h,Baseline+Aggregated100,100m,2,Baseline+Meteorology,0.622076484387867,0.629106901842779,0.0070304174549119525,0.7030417454911952,1.0,-0.24777021421734285,58,58,,"0.629
(+0.7)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,1
LGBM,Spatial_CV,7day,7d,Baseline+Aggregated100,100m,2,Baseline+Meteorology,0.628428860242557,0.657483463939031,0.029054603696474057,2.9054603696474057,0.34125202262985416,0.4111503521114059,58,58,,"0.657
(+2.9)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,2
LGBM,Spatial_CV,31day,31d,Baseline+Aggregated100,100m,2,Baseline+Meteorology,0.605974158873733,0.598685441312814,-0.007288717560918978,-0.7288717560918978,0.3665301998805638,0.34273255379122086,58,58,,"0.599
(-0.7)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,3
LGBM,Temporal_CV,1hour,1h,Baseline+Aggregated100,100m,2,Baseline+Meteorology,0.45236563577141,0.506235669196763,0.053870033425353014,5.387003342535301,1.0,-2.2028305323776056,58,58,,"0.506
(+5.4)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,4
LGBM,Temporal_CV,24hour,24h,Baseline+Aggregated100,100m,2,Baseline+Meteorology,0.556441189243417,0.588048108244455,0.03160691900103796,3.160691900103796,0.0007347732264513257,3.3428446534027705,58,58,***,"0.588
(+3.2***)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,5
LGBM,Temporal_CV,7day,7d,Baseline+Aggregated100,100m,2,Baseline+Meteorology,0.601146971495914,0.657531865064664,0.05638489356874998,5.638489356874999,1.0,-0.9459134250698483,58,58,,"0.658
(+5.6)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,6
LGBM,Temporal_CV,31day,31d,Baseline+Aggregated100,100m,2,Baseline+Meteorology,0.486028526144046,0.693729790141017,0.20770126399697098,20.770126399697098,9.196136599613135e-11,7.742888100714056,58,58,***,"0.694
(+20.8***)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,7
RF,Spatial_CV,1hour,1h,Baseline+Aggregated100,100m,2,Baseline+Meteorology,0.584090243569223,0.616328228811556,0.03223798524233301,3.223798524233301,0.2653799540231332,0.6306962319147202,58,58,,"0.616
(+3.2)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,8
RF,Spatial_CV,24hour,24h,Baseline+Aggregated100,100m,2,Baseline+Meteorology,0.628579937458505,0.638341050206295,0.009761112747789902,0.9761112747789902,1.0,-0.04737712513177381,58,58,,"0.638
(+1.0)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,9
RF,Spatial_CV,7day,7d,Baseline+Aggregated100,100m,2,Baseline+Meteorology,0.613012163571905,0.683538850008205,0.0705266864363,7.05266864363,0.07143659205568163,1.4856831239192827,58,58,,"0.684
(+7.1)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,10
RF,Spatial_CV,31day,31d,Baseline+Aggregated100,100m,2,Baseline+Meteorology,0.589943134074972,0.624622617715165,0.03467948364019302,3.467948364019302,0.43923704262316954,0.1535918023624918,58,58,,"0.625
(+3.5)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,11
RF,Temporal_CV,1hour,1h,Baseline+Aggregated100,100m,2,Baseline+Meteorology,0.354619142306792,0.443749848515062,0.08913070620827002,8.913070620827002,3.2100683107063724e-10,7.417020856156217,58,58,***,"0.444
(+8.9***)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,12
RF,Temporal_CV,24hour,24h,Baseline+Aggregated100,100m,2,Baseline+Meteorology,0.485373822898521,0.529098514467327,0.04372469156880604,4.372469156880604,0.002166943375951073,2.971488938570211,58,58,**,"0.529
(+4.4**)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,13
RF,Temporal_CV,7day,7d,Baseline+Aggregated100,100m,2,Baseline+Meteorology,0.524647610855134,0.629525505180073,0.10487789432493899,10.4877894324939,2.7006329527458926e-16,11.17922099571199,58,58,***,"0.630
(+10.5***)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,14
RF,Temporal_CV,31day,31d,Baseline+Aggregated100,100m,2,Baseline+Meteorology,0.497335211200427,0.586557656723134,0.08922244552270697,8.922244552270698,1.6131612768128138e-05,4.51507007781478,58,58,***,"0.587
(+8.9***)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,15
LGBM,Spatial_CV,1hour,1h,Baseline+Aggregated200,200m,3,Baseline+Meteorology,0.587487026652078,0.596610467230355,0.009123440578277076,0.9123440578277076,0.4507082703112547,0.12442500282876968,58,58,,"0.597
(+0.9)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,0
LGBM,Spatial_CV,24hour,24h,Baseline+Aggregated200,200m,3,Baseline+Meteorology,0.622076484387867,0.673462803454964,0.05138631906709701,5.138631906709701,0.11918591226587028,1.1915595494665028,58,58,,"0.673
(+5.1)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,1
LGBM,Spatial_CV,7day,7d,Baseline+Aggregated200,200m,3,Baseline+Meteorology,0.628428860242557,0.70307188644673,0.07464302620417307,7.464302620417307,0.0774322516048661,1.441680135660141,58,58,,"0.703
(+7.5)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,2
LGBM,Spatial_CV,31day,31d,Baseline+Aggregated200,200m,3,Baseline+Meteorology,0.605974158873733,0.565141046163461,-0.04083311271027201,-4.083311271027201,0.4364484449425973,0.16070126472817886,58,58,,"0.565
(-4.1)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,3
LGBM,Temporal_CV,1hour,1h,Baseline+Aggregated200,200m,3,Baseline+Meteorology,0.45236563577141,0.506409166335798,0.05404353056438804,5.404353056438804,1.0,-2.071786941268422,58,58,,"0.506
(+5.4)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,4
LGBM,Temporal_CV,24hour,24h,Baseline+Aggregated200,200m,3,Baseline+Meteorology,0.556441189243417,0.589565893480362,0.033124704236945024,3.3124704236945024,0.0004808766620815115,3.4822600239812527,58,58,***,"0.590
(+3.3***)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,5
LGBM,Temporal_CV,7day,7d,Baseline+Aggregated200,200m,3,Baseline+Meteorology,0.601146971495914,0.671767804120561,0.07062083262464702,7.062083262464702,0.3450219960567735,0.40082982568511877,58,58,,"0.672
(+7.1)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,6
LGBM,Temporal_CV,31day,31d,Baseline+Aggregated200,200m,3,Baseline+Meteorology,0.486028526144046,0.717796255978976,0.23176772983493,23.176772983493,2.5493723458539377e-09,6.877022138914465,58,58,***,"0.718
(+23.2***)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,7
RF,Spatial_CV,1hour,1h,Baseline+Aggregated200,200m,3,Baseline+Meteorology,0.584090243569223,0.632684097071972,0.04859385350274903,4.859385350274903,0.09734086726215484,1.312291870298822,58,58,,"0.633
(+4.9)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,8
RF,Spatial_CV,24hour,24h,Baseline+Aggregated200,200m,3,Baseline+Meteorology,0.628579937458505,0.696769033258552,0.06818909580004695,6.818909580004695,0.06976536902308868,1.4984644139006773,58,58,,"0.697
(+6.8)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,9
RF,Spatial_CV,7day,7d,Baseline+Aggregated200,200m,3,Baseline+Meteorology,0.613012163571905,0.701263549256853,0.08825138568494795,8.825138568494795,0.03308214065570013,1.8732513594570375,58,58,*,"0.701
(+8.8*)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,10
RF,Spatial_CV,31day,31d,Baseline+Aggregated200,200m,3,Baseline+Meteorology,0.589943134074972,0.662101942396021,0.07215880832104904,7.215880832104904,0.22474072986145688,0.7615274539620026,58,58,,"0.662
(+7.2)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,11
RF,Temporal_CV,1hour,1h,Baseline+Aggregated200,200m,3,Baseline+Meteorology,0.354619142306792,0.447359923540235,0.09274078123344304,9.274078123344303,1.1384680293593031e-08,6.485740517068001,58,58,***,"0.447
(+9.3***)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,12
RF,Temporal_CV,24hour,24h,Baseline+Aggregated200,200m,3,Baseline+Meteorology,0.485373822898521,0.53967161851984,0.054297795621319034,5.429779562131904,0.0006304718516273279,3.3935445538565534,58,58,***,"0.540
(+5.4***)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,13
RF,Temporal_CV,7day,7d,Baseline+Aggregated200,200m,3,Baseline+Meteorology,0.524647610855134,0.633189230605393,0.108541619750259,10.8541619750259,3.554110721392075e-15,10.45766902857628,58,58,***,"0.633
(+10.9***)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,14
RF,Temporal_CV,31day,31d,Baseline+Aggregated200,200m,3,Baseline+Meteorology,0.497335211200427,0.564602343546134,0.06726713234570703,6.726713234570703,0.10202178022621843,1.2848442137655545,58,58,,"0.565
(+6.7)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,15
LGBM,Spatial_CV,1hour,1h,Baseline+Aggregated500,500m,4,Baseline+Meteorology,0.587487026652078,0.573845650471733,-0.013641376180345,-1.3641376180345,1.0,-0.27257340372302624,58,58,,"0.574
(-1.4)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,0
LGBM,Spatial_CV,24hour,24h,Baseline+Aggregated500,500m,4,Baseline+Meteorology,0.622076484387867,0.601557616429431,-0.02051886795843605,-2.051886795843605,0.35946275603694383,0.36168401953849466,58,58,,"0.602
(-2.1)",1000,Supplementary Fig. 3 source-data cell. Delta_R2_Percent is feature R2 minus baseline R2 multiplied by 100. P values are one-tailed paired t-tests across monitoring stations after IQR filtering.,1
