Data_Type,CV_Type,Time_Scale,Time_Label,Time_Order,Category,Category_Order,Category_Color,Feature_Count,Mean_Abs_SHAP_Sum,Mean_Abs_SHAP_Mean,Contribution_Percent,Class_File_Used,SHAP_File_Found,Excluded_Unclassified_Features,Notes
category_contribution,Time,24hour,24-Hour,1,Emission Source Parameters,2,#E64B35,20,8.1293563,0.40646781,13.896492,classification_24hour.xlsx,True,Station_ID,Category contribution is calculated from category-level mean absolute SHAP values. Unclassified features are excluded from the denominator.
category_contribution,Time,24hour,24-Hour,1,Road Topology Parameters,3,#8491B4,14,1.26781486,0.0905582,3.096042,classification_24hour.xlsx,True,Station_ID,Category contribution is calculated from category-level mean absolute SHAP values. Unclassified features are excluded from the denominator.
category_contribution,Time,24hour,24-Hour,1,POI Parameters,4,#3C5488,3,0.65016634,0.21672211,7.409387,classification_24hour.xlsx,True,Station_ID,Category contribution is calculated from category-level mean absolute SHAP values. Unclassified features are excluded from the denominator.
category_contribution,Time,24hour,24-Hour,1,Urban Canopy Parameters,5,#00A087,44,5.23252699,0.11892107,4.065723,classification_24hour.xlsx,True,Station_ID,Category contribution is calculated from category-level mean absolute SHAP values. Unclassified features are excluded from the denominator.
category_contribution,Time,24hour,24-Hour,1,Landuse Parameters,6,#7E6148,44,4.63561842,0.10535496,3.60192,classification_24hour.xlsx,True,Station_ID,Category contribution is calculated from category-level mean absolute SHAP values. Unclassified features are excluded from the denominator.
category_contribution,Time,7day,7-Day,2,Meteorological Parameters,0,#4DBBD5,22,20.21487,0.91885773,36.956529,classification_7day.xlsx,True,Station_ID,Category contribution is calculated from category-level mean absolute SHAP values. Unclassified features are excluded from the denominator.
category_contribution,Time,7day,7-Day,2,Temporal Parameters,1,#F39B7F,9,6.43295171,0.71477241,28.748202,classification_7day.xlsx,True,Station_ID,Category contribution is calculated from category-level mean absolute SHAP values. Unclassified features are excluded from the denominator.
category_contribution,Time,7day,7-Day,2,Emission Source Parameters,2,#E64B35,20,8.46544043,0.42327202,17.024034,classification_7day.xlsx,True,Station_ID,Category contribution is calculated from category-level mean absolute SHAP values. Unclassified features are excluded from the denominator.
category_contribution,Time,7day,7-Day,2,Road Topology Parameters,3,#8491B4,14,1.33359729,0.09525695,3.831242,classification_7day.xlsx,True,Station_ID,Category contribution is calculated from category-level mean absolute SHAP values. Unclassified features are excluded from the denominator.
category_contribution,Time,7day,7-Day,2,POI Parameters,4,#3C5488,3,0.34242057,0.11414019,4.590727,classification_7day.xlsx,True,Station_ID,Category contribution is calculated from category-level mean absolute SHAP values. Unclassified features are excluded from the denominator.
category_contribution,Time,7day,7-Day,2,Urban Canopy Parameters,5,#00A087,44,4.72933688,0.10748493,4.323052,classification_7day.xlsx,True,Station_ID,Category contribution is calculated from category-level mean absolute SHAP values. Unclassified features are excluded from the denominator.
category_contribution,Time,7day,7-Day,2,Landuse Parameters,6,#7E6148,44,4.95159117,0.11253616,4.526213,classification_7day.xlsx,True,Station_ID,Category contribution is calculated from category-level mean absolute SHAP values. Unclassified features are excluded from the denominator.
category_contribution,Time,31day,31-Day,3,Meteorological Parameters,0,#4DBBD5,22,13.73397807,0.62427173,20.330536,classification_31day.xlsx,True,Station_ID,Category contribution is calculated from category-level mean absolute SHAP values. Unclassified features are excluded from the denominator.
category_contribution,Time,31day,31-Day,3,Temporal Parameters,1,#F39B7F,9,13.65470876,1.51718986,49.410026,classification_31day.xlsx,True,Station_ID,Category contribution is calculated from category-level mean absolute SHAP values. Unclassified features are excluded from the denominator.
category_contribution,Time,31day,31-Day,3,Emission Source Parameters,2,#E64B35,20,10.65835363,0.53291768,17.355426,classification_31day.xlsx,True,Station_ID,Category contribution is calculated from category-level mean absolute SHAP values. Unclassified features are excluded from the denominator.
category_contribution,Time,31day,31-Day,3,Road Topology Parameters,3,#8491B4,14,1.25435251,0.08959661,2.917875,classification_31day.xlsx,True,Station_ID,Category contribution is calculated from category-level mean absolute SHAP values. Unclassified features are excluded from the denominator.
category_contribution,Time,31day,31-Day,3,POI Parameters,4,#3C5488,3,0.28213263,0.09404421,3.062719,classification_31day.xlsx,True,Station_ID,Category contribution is calculated from category-level mean absolute SHAP values. Unclassified features are excluded from the denominator.
category_contribution,Time,31day,31-Day,3,Urban Canopy Parameters,5,#00A087,44,4.77945449,0.10862397,3.537536,classification_31day.xlsx,True,Station_ID,Category contribution is calculated from category-level mean absolute SHAP values. Unclassified features are excluded from the denominator.
category_contribution,Time,31day,31-Day,3,Landuse Parameters,6,#7E6148,44,4.57455946,0.10396726,3.385881,classification_31day.xlsx,True,Station_ID,Category contribution is calculated from category-level mean absolute SHAP values. Unclassified features are excluded from the denominator.
