Panel,Panel_Description,Model,Model_Display,CV_Strategy,CV_Display,Time_Scale_Raw,Time_Scale_Display,Column_Key,Column_Order,Feature_Raw,Feature_Domain,Feature_Order,Baseline_Feature_Raw,Is_Baseline,Absolute_R2,Baseline_R2,Delta_R2,Delta_R2_Percent,P_Value_One_Tailed,Significance_Stars,N_Station_Pairs,Mean_Station_Delta_R2,Annotation_Text,Significance_Test,Notes
a,Absolute R2 and marginal contribution of multi-source feature domains.,RF,Random Forest,Temporal_CV,Temporal CV,1hour,1h,RF|Temporal_CV|1hour,13,Baseline+Aggregated,Aggregated,3,Baseline+Meteorology,No,0.456552109170235,0.354619142306792,0.101932966863443,10.1932966863443,1.6683636027721915e-09,***,58.0,0.10208145221647599,"0.457
(+10.2***)",One-tailed paired t-test across monitoring stations,Delta_R2 is feature-domain model R2 minus baseline R2. Delta_R2_Percent is shown in percentage points.
a,Absolute R2 and marginal contribution of multi-source feature domains.,RF,Random Forest,Temporal_CV,Temporal CV,24hour,24h,RF|Temporal_CV|24hour,14,Baseline+Aggregated,Aggregated,3,Baseline+Meteorology,No,0.541803513046003,0.485373822898521,0.05642969014748206,5.642969014748206,9.834897711383658e-05,***,58.0,0.054403893392482666,"0.542
(+5.6***)",One-tailed paired t-test across monitoring stations,Delta_R2 is feature-domain model R2 minus baseline R2. Delta_R2_Percent is shown in percentage points.
a,Absolute R2 and marginal contribution of multi-source feature domains.,RF,Random Forest,Temporal_CV,Temporal CV,7day,7d,RF|Temporal_CV|7day,15,Baseline+Aggregated,Aggregated,3,Baseline+Meteorology,No,0.644028583801299,0.524647610855134,0.11938097294616501,11.938097294616501,8.3228600969988e-17,***,58.0,0.17536006842901788,"0.644
(+11.9***)",One-tailed paired t-test across monitoring stations,Delta_R2 is feature-domain model R2 minus baseline R2. Delta_R2_Percent is shown in percentage points.
a,Absolute R2 and marginal contribution of multi-source feature domains.,RF,Random Forest,Temporal_CV,Temporal CV,31day,31d,RF|Temporal_CV|31day,16,Baseline+Aggregated,Aggregated,3,Baseline+Meteorology,No,0.703330320704658,0.497335211200427,0.20599510950423094,20.599510950423095,3.537264793647419e-16,***,58.0,0.36487498167313487,"0.703
(+20.6***)",One-tailed paired t-test across monitoring stations,Delta_R2 is feature-domain model R2 minus baseline R2. Delta_R2_Percent is shown in percentage points.
a,Absolute R2 and marginal contribution of multi-source feature domains.,LGBM,LightGBM,Spatial_CV,Spatial CV,1hour,1h,LGBM|Spatial_CV|1hour,1,Baseline+Emission,Emission,4,Baseline+Meteorology,No,0.624486361308158,0.587487026652078,0.036999334656080074,3.6999334656080074,0.16200211401404363,,58.0,0.0696873968930027,"0.624
(+3.7)",One-tailed paired t-test across monitoring stations,Delta_R2 is feature-domain model R2 minus baseline R2. Delta_R2_Percent is shown in percentage points.
a,Absolute R2 and marginal contribution of multi-source feature domains.,LGBM,LightGBM,Spatial_CV,Spatial CV,24hour,24h,LGBM|Spatial_CV|24hour,2,Baseline+Emission,Emission,4,Baseline+Meteorology,No,0.694813186170701,0.622076484387867,0.07273670178283398,7.273670178283398,0.0863723745903313,,58.0,0.14012071702354884,"0.695
(+7.3)",One-tailed paired t-test across monitoring stations,Delta_R2 is feature-domain model R2 minus baseline R2. Delta_R2_Percent is shown in percentage points.
a,Absolute R2 and marginal contribution of multi-source feature domains.,LGBM,LightGBM,Spatial_CV,Spatial CV,7day,7d,LGBM|Spatial_CV|7day,3,Baseline+Emission,Emission,4,Baseline+Meteorology,No,0.719936734863063,0.628428860242557,0.09150787462050602,9.150787462050602,0.059816938194968444,,58.0,0.32691480304879345,"0.720
(+9.2)",One-tailed paired t-test across monitoring stations,Delta_R2 is feature-domain model R2 minus baseline R2. Delta_R2_Percent is shown in percentage points.
a,Absolute R2 and marginal contribution of multi-source feature domains.,LGBM,LightGBM,Spatial_CV,Spatial CV,31day,31d,LGBM|Spatial_CV|31day,4,Baseline+Emission,Emission,4,Baseline+Meteorology,No,0.664587944171106,0.605974158873733,0.058613785297373044,5.861378529737305,0.05287495495325075,,58.0,0.5977848192701,"0.665
(+5.9)",One-tailed paired t-test across monitoring stations,Delta_R2 is feature-domain model R2 minus baseline R2. Delta_R2_Percent is shown in percentage points.
a,Absolute R2 and marginal contribution of multi-source feature domains.,LGBM,LightGBM,Temporal_CV,Temporal CV,1hour,1h,LGBM|Temporal_CV|1hour,5,Baseline+Emission,Emission,4,Baseline+Meteorology,No,0.454028693328131,0.45236563577141,0.001663057556721026,0.1663057556721026,8.096580531875567e-13,***,58.0,0.010331510077043207,"0.454
(+0.2***)",One-tailed paired t-test across monitoring stations,Delta_R2 is feature-domain model R2 minus baseline R2. Delta_R2_Percent is shown in percentage points.
a,Absolute R2 and marginal contribution of multi-source feature domains.,LGBM,LightGBM,Temporal_CV,Temporal CV,24hour,24h,LGBM|Temporal_CV|24hour,6,Baseline+Emission,Emission,4,Baseline+Meteorology,No,0.627003102410215,0.556441189243417,0.07056191316679794,7.056191316679794,4.6404206346709874e-14,***,58.0,0.1342699126052133,"0.627
(+7.1***)",One-tailed paired t-test across monitoring stations,Delta_R2 is feature-domain model R2 minus baseline R2. Delta_R2_Percent is shown in percentage points.
